name_ca,cid,themes,poetic_syllables
Clorur de dimetilcarbamoil,6598,organiques,9
cocaïna,446220,farmacs|organiques|verins,3
codeïna,5284371,verins,3
Colecistocinina,16129670,metabolits,6
colesterol,5997,organiques,4
colquicina,6167,organiques|verins,3
corticosterona,5753,organiques,5
cortisol,5754,organiques,3
cortisona,222786,organiques,3
creatina,586,metabolits,3
creatinina,26009888,organiques,4
Crocetina,5281232,aliments,3
Crocina,5281233,aliments,2
cumarina,323,organiques,3
Cuminaldehid,326,organiques,5
curcumina,969516,aliments|organiques,3
càmfora,2537,organiques,1
daptomicina,101589918,farmacs,4
dauricina,73400,organiques|verins,3
DDT,3036,organiques,1
delfinidina,68245,organiques,4
desferroxamina,2973,farmacs,5
deshidroemetina,21022,verins,6
Diazometà,9550,organiques,5
dieldrina,969491,organiques,3
dietilcarbamazina,3052,organiques,7
Dietilzinc,101667988,organiques,4
difenilmetanol,7037,organiques,6
Diflubenzuron,37123,organiques,5
Difosfat de dimetilal·lil,647,organiques,9
Dihidrogenfosfat de sodi,24204,aliments,8
Diiodotiroxina,9305,metabolits,6
dimercaprol,3080,farmacs,4
dimetilmercuri,11645,organiques,5
dimetiltriptamina,6089,organiques|verins,6
Dipalmitoilfosfatidilcolina,6138,organiques,10
disulfiram,3117,farmacs,4
diòxid de sofre,1119,aliments,5
Diòxid de tiourea,61274,organiques,8
dopamina,681,metabolits|verins,3
doxorubicina,31703,farmacs,5
E110,17730,aliments,4
efedrina,9294,organiques|verins,3
eflornitina,3009,metabolits,4
elemicina,10248,organiques,4
emetina,10219,organiques|verins,3
endosulfan,3224,organiques,4
Endrina,12358480,organiques,2
enterobactina,34231,organiques,5
eplerenona,443872,organiques,4
Ergocristina,31116,organiques|verins,4
Ergolina,6857537,organiques|verins,3
Ergosterol,444679,organiques,4
eritritol,222285,aliments,4
esfingosina,5280335,organiques,4
espironolactona,5833,organiques,6
estanozolol,25249,organiques,5
estearina,11146,organiques,4
esterol,1107,organiques,3
estreptomicina,19649,farmacs,5
estricnina,441071,organiques|verins,3
estriol,5756,organiques,3
etambutol,14052,farmacs,4
etanol,702,farmacs,3
Etil maltol,21059,aliments,4
etil vanil·lina,8467,aliments,5
Etil-3-(3-dimetilaminopropil)carbodiimida,15908,organiques,8
etoxipropà,12340,organiques,5
Factor activador de plaquetes,108156,organiques,9
fagomina,72259,organiques,3
fenetilamina,1001,verins,5
fenilalanina,6140,metabolits|verins,5
fenilpropanolamina,26934,organiques|verins,7
fenol,996,farmacs,2
Fenoxietanol,31236,farmacs,6
ferrocè,10219726,organiques,3
Fidaxomicina,10034073,farmacs,5
fisostigmina,5983,farmacs|organiques|verins,4
flibanserina,6918248,organiques,4
Floricina,6072,aliments,3
flumazenil,3373,farmacs,4
Fluorobenzè,10008,organiques,5
Fluorur de formil,15153,organiques,6
fomepizole,3406,farmacs,4
fosfat d'urea,20994,organiques,4
Fosfat de calci,24456,aliments,4
fosfomicina,3417,farmacs,4
fructosa,5984,aliments,2
Fumonisina B1,62314,verins,7
Galaxolide,91497,organiques,4
geosmina,29746,organiques,3
Gepotidacina,25101874,farmacs,5
ghrelina,16133832,metabolits,2
glicerol,753,aliments,3
glicina,750,metabolits,2
Glucagó,16186314,farmacs|metabolits,3
Gluconat de calci,9290,farmacs,5
gluconat de zinc,443445,farmacs|organiques,5
glutamat monosòdic,23672308,aliments|metabolits,6
glutamina,5961,metabolits,3
GM1,5497107,organiques,2
guanina,764,organiques,2
heptaclor,3589,organiques,3
hexaclorobenzè,8370,organiques,6
Hexaclorofè,3598,farmacs,5
Hexafluorobenzè,9805,organiques,7
Hexahidrocannabinol,522237,farmacs,8
hexametilenotetramina,4101,farmacs|organiques,9
Hexilcinamaldehid,7585,organiques,7
hidrat de metà,85782665,organiques,5
hidrogencarbonat de sodi,516892,farmacs,8
hidrogenfosfat de calci,24441,aliments,7
Hidrogenfosfat de sodi,24203,aliments,7
hidrogensulfit de sodi,656672,aliments,7
hidroxibutilanisol,24667,aliments,8
Hidroxiprolina,825,metabolits,5
Hidroxitirosol,82755,aliments,6
hidròxid d'amoni,14923,aliments,5
hipoclorit de calci,24504,farmacs,6
hipoclorit de sodi,23665760,farmacs,6
Hipusina,10922432,metabolits,3
histamina,774,metabolits,3
histidina,6274,metabolits,3
homocisteïna,778,metabolits,5
Homolicorina,160473,organiques|verins,5
Homoserina,12647,metabolits,4
Hormona alliberadora de tirotropina,638678,metabolits,14
hormona antidiürètica,644077,metabolits,8
HU-331,11393311,farmacs,4
"inositol 1,4,5‐trisfosfat",55310,organiques,11
insulina,118984375,metabolits,3
inulina,24763,aliments,3
iodat de calci,24619,farmacs,4
iohimbina,8969,organiques|verins,3
Isoflurà,3763,farmacs,4
isoleucina,6306,metabolits,4
isomalt,3034828,aliments,3
Isomaltol,18898,aliments,4
isomaltulosa,83686,aliments,5
isomescalina,414332,organiques|verins,5
isoniazida,3767,farmacs,5
isoprè,6557,organiques,3
Juglona,3806,aliments,2
L-dopa,6047,metabolits|organiques,2
lactat de calci,13144,aliments,4
Lactat de sodi,23666456,aliments|farmacs,4
Lactitol,157355,aliments,3
Lactucopricina,174863,organiques,5
leucina,6106,metabolits,2
Levotiroxina,5819,metabolits,5
licopè,446925,aliments,3
lidocaïna,3676,farmacs,4
limonè,22311,aliments,3
liraglutida,16134956,metabolits,4
lisina,866,metabolits,2
lisinopril,5362119,metabolits,4
Lligand de Trost,10963521,organiques,4
Lugduname,57459281,aliments|metabolits,3
Luteolina,5280445,aliments,4
luteïna,5281243,aliments,3
Maltitol,493591,aliments,3
Mancozeb,3034368,organiques,3
MDMA,1615,verins,1
mefedrona,45266826,verins,3
melatonina,896,aliments|metabolits,4
mentol,16666,organiques,2
merbromina,441373,organiques,3
mesalazina,4075,aliments,4
mescalina,4076,organiques|verins,3
mesitilè,7947,organiques,4
Metaclazepam,71272,organiques,5
metadona,4095,verins,3
metamfetamina,10836,verins,5
metanoat de metil,7865,organiques,7
Metil eugenol,7127,organiques,5
Metil jasmonat,5281929,metabolits|organiques,5
metilazida,79079,organiques,4
metilcel·lulosa,51063134,aliments,5
metilfenidat,4158,verins,5
metilmercuri,6860,organiques,4
metilprednisolona,6741,organiques,6
metionina,876,metabolits,4
Metohexital,9034,farmacs,5
Metoxietà,10903,organiques,5
mimosina,440473,organiques|verins,3
minociclina,51537604,farmacs,4
mirabegró,9865528,verins,4
mirex,16945,organiques,2
mixotiazol,6437357,farmacs,5
Monopalmitat de sorbità,16212480,aliments,9
monòxid de nitrogen,145068,metabolits,6
mupirocina,446596,farmacs|metabolits,4
Muscarina,9308,verins,3
N-formilmetionina,911,metabolits,8
Naftalè,931,farmacs,3
naloxona,5284596,farmacs,3
naringenina,439246,aliments|organiques,4
Natamicina,5284447,aliments,4
nicarbazina,9507,organiques,4
nicotina,942,organiques|verins,3
Nisina,16219761,aliments,2
nitrat de potassi,24434,aliments,5
nitrat de sodi,24268,aliments,4
Nitrit d'amil,24687,organiques,4
nitrit de sodi,23668193,aliments,4
nitrobenzè,7416,organiques,4
nitrofurantoïna,6604200,farmacs,6
nitrometà,6375,organiques,4
noradrenalina,439260,metabolits,5
Notofagina,21722188,organiques,4
Ocratoxina A,442530,verins,6
octopamina,4581,metabolits,4
Oleuropeïna,5281544,aliments,5
omaveloxolona,71811910,organiques,6
ornitina,6262,metabolits,3
Ortoformiat de trietil,31214,organiques,9
oxalat de calci,33005,organiques,5
Oxalat de sodi,517020,organiques,5
oxitocina,439302,metabolits,4
P-cimè,7463,organiques,3
Palmitat d'ascorbil,54680660,aliments|metabolits,6
papaverina,4680,organiques|verins,4
Patulina,4696,verins,3
perillaldehid,16441,aliments,5
peròxid d'hidrogen,784,farmacs,5
peròxid de calci,14779,aliments,5
picrotoxina,31304,verins,4
pirazinamida,1046,farmacs,5
piridoxina,1054,farmacs,4
pirrolisina,5460671,metabolits,4
Pivalat de metil,69027,aliments,6
Polianilina,70701172,organiques,5
polimetilmetacrilat,3032549,organiques,8
Poliricinoleat de poliglicerol,9843407,aliments,13
Povidona iodada,410087,farmacs,6
pregnenolona,8955,metabolits|organiques,4
proflavina,7099,farmacs,3
progesterona,5994,metabolits|organiques,4
prolina,614,metabolits,2
Propanoat d'isobutil,10895,aliments|organiques,8
Propanoat de calci,19999,aliments|organiques,6
propofol,4943,farmacs,3
Prostaglandina I,5282411,organiques,6
Protoanemonina,66948,organiques|verins,6
Prunasina,119033,organiques|verins,3
psilocibina,10624,organiques|verins,4
Pulegona,442495,organiques,3
puromicina,439530,farmacs,4
quercetina,5280343,aliments,3
quinina,3034034,organiques|verins,2
Ractopamina,56052,aliments,4
Resina de Merrifield,67692660,organiques,7
Resmetrina,5053,organiques,3
Resveratrol,445154,aliments,4
retinol,445354,aliments,3
Rhein,10168,organiques,1
rifampicina,5381226,farmacs,4
Rifaximina,6436173,farmacs,4
Ristocetina,16204749,farmacs,4
ritonavir,392622,organiques,4
Ropivacaïna,175805,farmacs,5
